Pays,iso3,date,real_gdp_growth_qoq,gdp_level,final_consumption_expenditure,cpi_index,short_term_interest,trade_balance_usd_billion,reer_ic37_41_cpi
United Kingdom,GBR,1962Q2,0.938667639,7309,16949,6.17409,NA,-0.34002546,NA
United States,USA,1962Q2,0.904754391,150952,294951.8,12.7417,NA,1.3271000000000002,NA
Australia,AUS,1962Q3,0.800281917,4659,13019,NA,NA,-0.027535107,NA
Austria,AUT,1962Q3,0.839158414,NA,NA,17.4092,NA,-0.07855201,NA
Belgium,BEL,1962Q3,1.116325339,NA,NA,14.67544,2.9333333333,-0.013580027000000001,NA
Canada,CAN,1962Q3,1.278910818,12674,48371,12.56255,5.6135,-0.026652645,NA
Denmark,DNK,1962Q3,0.423810709,NA,NA,NA,NA,-0.16469173,NA
Finland,FIN,1962Q3,1.952450944,NA,NA,8.002226,NA,-0.032170927,NA
France,FRA,1962Q3,1.439785328,NA,NA,10.72828,NA,NA,NA
G7,G7,1962Q3,1.29473,NA,NA,NA,NA,0.6335991,NA
Germany,DEU,1962Q3,2.395209581,NA,NA,24.13801,3.25,0.32799186,NA
Greece,GRC,1962Q3,1.289493266,NA,NA,1.12357,NA,-0.10505367,NA
Iceland,ISL,1962Q3,2.414549729,NA,NA,0.04190959,NA,-0.00173041448,NA
Ireland,IRL,1962Q3,0.962293817,NA,NA,5.232301,NA,-0.07019286999999999,NA
Italy,ITA,1962Q3,0.600370464,NA,NA,4.151151,NA,-0.44350049999999996,NA
Japan,JPN,1962Q3,1.221843407,NA,NA,20.69444,NA,-0.09249829999999999,NA
Luxembourg,LUX,1962Q3,0.423164737,NA,NA,15.99934,NA,NA,NA
Mexico,MEX,1962Q3,1.402493898,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1962Q3,3.147562475,NA,NA,16.10943,NA,-0.21494125,NA
Norway,NOR,1962Q3,0.669292009,NA,NA,9.102266,NA,NA,NA
OECD,OECD,1962Q3,1.384407036,NA,NA,NA,NA,NA,NA
OECDE,OECDE,1962Q3,1.557521,NA,NA,NA,NA,NA,NA
