obs_dy_h,obs_dy_f,obs_dc_h,obs_dc_f,obs_pi_h,obs_pi_f,obs_r_h,obs_r_f,obs_de,obs_tb_h,obs_tb_f
-0.171489,0.690240389,0.6125022694319251,0.7672420810601644,1.3689078685827205,0.7099629821047909,0.5,1.0683333333333334,1.0436338025835505,1.4300785161567486,-0.9168470484503961
0.096165,0.723850896,-1.0440978635911093,0.35760226782830595,1.8408306246421602,1.0103143634312866,0.75,1.1883333333333335,1.08695586305579,1.1628520104069622,-0.7067618067917261
0.08648,0.627871959,1.066319366800602,0.6667826283078597,0.7152778983596757,0.9077257443592729,0.875,1.2833333333333334,1.105127814546787,1.2364331365886194,-0.769454880003292
0.109481,1.153606039,0.15619373862310887,0.4076648471597095,0.9308971988860986,1.027112826865485,1,1.3566666666666667,1.1057636502044366,1.2109257491101943,-0.7423661763986179
0.092471,0.844057147,1.7391258755070427,1.0076972842487895,-0.08226735806923681,0.3488311963457041,1,1.3491666666666666,1.0979818044074774,1.2016760285535675,-0.7669693186797042
0.370654,0.209861343,-0.587922241418762,-0.3167804794703201,1.0190513571147173,1.1550902954126383,1,1.3141666666666667,1.1090509204373835,1.128140607695598,-0.6782093635868255
0.254467,0.885486294,0.5324273595230542,1.5454604110779369,0.7436946225545682,0.41885348884580337,0.9375,1.3283333333333334,1.0963981435156551,1.377710068986925,-0.8437203029302045
0.425346,0.824778022,0.9005492957266474,0.795297020082194,0.39080384212390107,0.5013250580999601,0.875,1.2741666666666667,1.1201256230938754,1.408037707597947,-0.8596701294647433
0.485945,0.459874686,1.0533720004488105,1.064906955350355,0.5026841516306407,0.7683069284687922,0.75,1.1341666666666668,1.0904782962343422,1.3140375009104919,-0.835440409570678
0.511912,-0.162516404,-0.8062928985949008,-0.39420612932198956,0.8626216655833698,0.6841081797288542,0.625,1.08,1.0746001569335224,2.141418889452083,-1.281735295092357
0.259121,0.945999717,0.8014735648876155,0.9102434656869771,0.5664059190535656,0.6967182088040522,0.5,1.0766666666666667,1.1588009702927178,1.09504483078914,-0.6687515211150009
